label,calculate,date,year,month,day,dayofweek,dayname
Ano Novo,january 1st,20000101,2000,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20000307,2000,3,7,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20000421,2000,4,21,4,Friday
Pascoa,easter sunday,20000423,2000,4,23,6,Sunday
25 de Abril,april 25th,20000425,2000,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20000501,2000,5,1,0,Monday
Dia de Portugal,june 10th,20000610,2000,6,10,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20000622,2000,6,22,3,Thursday
Assuncao Maria,august 15th,20000815,2000,8,15,1,Tuesday
Implatacao da Republica,october 5th,20001005,2000,10,5,3,Thursday
Todos os Santos,november 1st,20001101,2000,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20001201,2000,12,1,4,Friday
Imaculada Conceicao,december 8th,20001208,2000,12,8,4,Friday
Natal,december 25th,20001225,2000,12,25,0,Monday
Ano Novo,january 1st,20010101,2001,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20010227,2001,2,27,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20010413,2001,4,13,4,Friday
Pascoa,easter sunday,20010415,2001,4,15,6,Sunday
25 de Abril,april 25th,20010425,2001,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20010501,2001,5,1,1,Tuesday
Dia de Portugal,june 10th,20010610,2001,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20010614,2001,6,14,3,Thursday
Assuncao Maria,august 15th,20010815,2001,8,15,2,Wednesday
Implatacao da Republica,october 5th,20011005,2001,10,5,4,Friday
Todos os Santos,november 1st,20011101,2001,11,1,3,Thursday
Restauracao da Independencia,december 1st,20011201,2001,12,1,5,Saturday
Imaculada Conceicao,december 8th,20011208,2001,12,8,5,Saturday
Natal,december 25th,20011225,2001,12,25,1,Tuesday
Ano Novo,january 1st,20020101,2002,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20020212,2002,2,12,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20020329,2002,3,29,4,Friday
Pascoa,easter sunday,20020331,2002,3,31,6,Sunday
25 de Abril,april 25th,20020425,2002,4,25,3,Thursday
Dia do Trabalhador,may 1th,20020501,2002,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20020530,2002,5,30,3,Thursday
Dia de Portugal,june 10th,20020610,2002,6,10,0,Monday
Assuncao Maria,august 15th,20020815,2002,8,15,3,Thursday
Implatacao da Republica,october 5th,20021005,2002,10,5,5,Saturday
Todos os Santos,november 1st,20021101,2002,11,1,4,Friday
Restauracao da Independencia,december 1st,20021201,2002,12,1,6,Sunday
Imaculada Conceicao,december 8th,20021208,2002,12,8,6,Sunday
Natal,december 25th,20021225,2002,12,25,2,Wednesday
Ano Novo,january 1st,20030101,2003,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20030304,2003,3,4,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20030418,2003,4,18,4,Friday
Pascoa,easter sunday,20030420,2003,4,20,6,Sunday
25 de Abril,april 25th,20030425,2003,4,25,4,Friday
Dia do Trabalhador,may 1th,20030501,2003,5,1,3,Thursday
Dia de Portugal,june 10th,20030610,2003,6,10,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20030619,2003,6,19,3,Thursday
Assuncao Maria,august 15th,20030815,2003,8,15,4,Friday
Implatacao da Republica,october 5th,20031005,2003,10,5,6,Sunday
Todos os Santos,november 1st,20031101,2003,11,1,5,Saturday
Restauracao da Independencia,december 1st,20031201,2003,12,1,0,Monday
Imaculada Conceicao,december 8th,20031208,2003,12,8,0,Monday
Natal,december 25th,20031225,2003,12,25,3,Thursday
Ano Novo,january 1st,20040101,2004,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20040224,2004,2,24,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20040409,2004,4,9,4,Friday
Pascoa,easter sunday,20040411,2004,4,11,6,Sunday
25 de Abril,april 25th,20040425,2004,4,25,6,Sunday
Dia do Trabalhador,may 1th,20040501,2004,5,1,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20040610,2004,6,10,3,Thursday
Dia de Portugal,june 10th,20040610,2004,6,10,3,Thursday
Assuncao Maria,august 15th,20040815,2004,8,15,6,Sunday
Implatacao da Republica,october 5th,20041005,2004,10,5,1,Tuesday
Todos os Santos,november 1st,20041101,2004,11,1,0,Monday
Restauracao da Independencia,december 1st,20041201,2004,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20041208,2004,12,8,2,Wednesday
Natal,december 25th,20041225,2004,12,25,5,Saturday
Ano Novo,january 1st,20050101,2005,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20050208,2005,2,8,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20050325,2005,3,25,4,Friday
Pascoa,easter sunday,20050327,2005,3,27,6,Sunday
25 de Abril,april 25th,20050425,2005,4,25,0,Monday
Dia do Trabalhador,may 1th,20050501,2005,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20050526,2005,5,26,3,Thursday
Dia de Portugal,june 10th,20050610,2005,6,10,4,Friday
Assuncao Maria,august 15th,20050815,2005,8,15,0,Monday
Implatacao da Republica,october 5th,20051005,2005,10,5,2,Wednesday
Todos os Santos,november 1st,20051101,2005,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20051201,2005,12,1,3,Thursday
Imaculada Conceicao,december 8th,20051208,2005,12,8,3,Thursday
Natal,december 25th,20051225,2005,12,25,6,Sunday
Ano Novo,january 1st,20060101,2006,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20060228,2006,2,28,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20060414,2006,4,14,4,Friday
Pascoa,easter sunday,20060416,2006,4,16,6,Sunday
25 de Abril,april 25th,20060425,2006,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20060501,2006,5,1,0,Monday
Dia de Portugal,june 10th,20060610,2006,6,10,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20060615,2006,6,15,3,Thursday
Assuncao Maria,august 15th,20060815,2006,8,15,1,Tuesday
Implatacao da Republica,october 5th,20061005,2006,10,5,3,Thursday
Todos os Santos,november 1st,20061101,2006,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20061201,2006,12,1,4,Friday
Imaculada Conceicao,december 8th,20061208,2006,12,8,4,Friday
Natal,december 25th,20061225,2006,12,25,0,Monday
Ano Novo,january 1st,20070101,2007,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20070220,2007,2,20,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20070406,2007,4,6,4,Friday
Pascoa,easter sunday,20070408,2007,4,8,6,Sunday
